algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.25,10299,7
QuickSort,random,1000,0.15,22460,5
QuickSelect,random,1000,0.12,3413,16
MergeSort,random,10000,1.53,126977,11
QuickSort,random,10000,0.88,229506,9
QuickSelect,random,10000,0.67,19474,12
MergeSort,random,100000,9.78,1639346,14
QuickSort,random,100000,10.31,3232058,11
QuickSelect,random,100000,1.69,266725,15
MergeSort,random,1000000,111.92,20226751,17
QuickSort,random,1000000,124.83,36177086,13
QuickSelect,random,1000000,14.53,4021842,31
MergeSort,sorted,1000,0.01,3956,7
QuickSort,sorted,1000,0.05,15089,7
QuickSelect,sorted,1000,0.01,3205,13
MergeSort,sorted,10000,0.22,59248,11
QuickSort,sorted,10000,0.51,246679,9
QuickSelect,sorted,10000,0.05,34188,18
MergeSort,sorted,100000,2.46,744016,14
QuickSort,sorted,100000,5.92,2917571,11
QuickSelect,sorted,100000,0.61,398485,29
MergeSort,sorted,1000000,29.19,8952320,17
QuickSort,sorted,1000000,71.51,36686067,13
QuickSelect,sorted,1000000,5.02,3106753,26
MergeSort,duplicates,1000,0.04,9943,7
QuickSort,duplicates,1000,0.02,6140,2
QuickSelect,duplicates,1000,0.07,2125,3
MergeSort,duplicates,10000,0.47,121635,11
QuickSort,duplicates,10000,0.18,64005,2
QuickSelect,duplicates,10000,0.21,16848,3
MergeSort,duplicates,100000,5.03,1562360,14
QuickSort,duplicates,100000,1.74,600662,2
QuickSelect,duplicates,100000,0.90,249903,3
MergeSort,duplicates,1000000,54.28,19205809,17
QuickSort,duplicates,1000000,17.17,8905691,2
QuickSelect,duplicates,1000000,11.25,1799539,3
